<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XXBTZUSD,60,20250809,140000,117415.8,117450,117096.2,117114.5,27.94965736
XXBTZUSD,60,20250809,150000,117120.2,117230,117009.8,117146.7,10.83510341
XXBTZUSD,60,20250809,160000,117146.7,117146.7,116880.2,116984.4,22.9256277
XXBTZUSD,60,20250809,170000,116984.4,116991.1,116760.2,116967,21.41532684
XXBTZUSD,60,20250809,180000,116967,117123.3,116735.2,116882.5,21.38616738
XXBTZUSD,60,20250809,190000,116882.6,116961.4,116714.5,116714.6,20.23068847
XXBTZUSD,60,20250809,200000,116714.6,116775,116700,116700.1,12.05619574
XXBTZUSD,60,20250809,210000,116700.1,116722.7,116565.2,116679,24.54662852
XXBTZUSD,60,20250809,220000,116679,116690.8,116587.5,116587.6,9.8942628
XXBTZUSD,60,20250809,230000,116587.6,116969,116510.7,116800.1,24.09865492
XXBTZUSD,60,20250810,000000,116800.1,116800.1,116361.7,116560.9,161.58147825
XXBTZUSD,60,20250810,010000,116561,116687.5,116525.1,116559.4,10.30951696
XXBTZUSD,60,20250810,020000,116559.4,116559.4,116282.1,116467.4,111.27191585
XXBTZUSD,60,20250810,030000,116467.4,116698.9,116467.3,116698.9,9.183911
XXBTZUSD,60,20250810,040000,116698.9,116706,116564.2,116564.3,10.27220633
XXBTZUSD,60,20250810,050000,116564.3,117300.2,116564.2,117300.2,32.32393061
XXBTZUSD,60,20250810,060000,117300.2,118480,117289.4,118449.9,136.44267206
XXBTZUSD,60,20250810,070000,118450,118703.3,118407.1,118417.8,77.15573031
XXBTZUSD,60,20250810,080000,118417.8,118445,117982.6,118037.8,34.26022454
XXBTZUSD,60,20250810,090000,118037.9,118072.6,117772,118065,59.70730516
XXBTZUSD,60,20250810,100000,118065,118198.8,117491.5,117790.9,39.55064448
XXBTZUSD,60,20250810,110000,117790.9,118339.6,117656.1,118339.5,36.80525768
XXBTZUSD,60,20250810,120000,118339.6,118361.3,118101.4,118301.4,40.40746619
